name,rating,genre,score,director,writer,star,runtime
The Wash,R,Comedy,4.8,DJ Pooh,DJ Pooh,Dr. Dre,93
The Watch,R,Comedy,5.7,Akiva Schaffer,Jared Stern,Ben Stiller,102
The Watcher,R,Crime,5.3,Joe Charbanic,Darcy Meyers,James Spader,97
The Watcher in the Woods,PG,Family,6.3,John Hough,Brian Clemens,Bette Davis,84
The Water Diviner,R,Drama,7,Russell Crowe,Andrew Knight,Russell Crowe,111
The Water Horse,PG,Adventure,6.4,Jay Russell,Robert Nelson Jacobs,Emily Watson,112
The Waterboy,PG-13,Comedy,6.1,Frank Coraci,Tim Herlihy,Adam Sandler,90
The Waterdance,R,Drama,6.8,Neal Jimenez,Neal Jimenez,Eric Stoltz,106
The Wave,R,Action,6.7,Roar Uthaug,John Kåre Raake,Kristoffer Joner,105
The Way,PG-13,Comedy,7.4,Emilio Estevez,Emilio Estevez,Martin Sheen,123
The Way Back,PG-13,Adventure,7.3,Peter Weir,Slavomir Rawicz,Jim Sturgess,133
The Way of the Gun,R,Action,6.7,Christopher McQuarrie,Christopher McQuarrie,Ryan Phillippe,119
The Way Way Back,PG-13,Comedy,7.4,Nat Faxon,Nat Faxon,Steve Carell,103
The Weather Man,R,Comedy,6.5,Gore Verbinski,Steve Conrad,Nicolas Cage,102
The Wedding Banquet,R,Comedy,7.6,Ang Lee,Ang Lee,Winston Chao,106
The Wedding Date,PG-13,Comedy,6.2,Clare Kilner,Elizabeth Young,Dermot Mulroney,90
The Wedding Planner,PG-13,Comedy,5.3,Adam Shankman,Pamela Falk,Jennifer Lopez,103
The Wedding Ringer,R,Comedy,6.6,Jeremy Garelick,Jeremy Garelick,Kevin Hart,101
The Wedding Singer,PG-13,Comedy,6.9,Frank Coraci,Tim Herlihy,Adam Sandler,97
The Weight of Water,R,Crime,5.9,Kathryn Bigelow,Anita Shreve,Catherine McCormack,114
The Whales of August,Unrated,Drama,7.3,Lindsay Anderson,David Berry,Bette Davis,90
The Whistle Blower,PG,Thriller,6.2,Simon Langton,Julian Bond,Michael Caine,100
The Whistleblower,R,Biography,7.1,Larysa Kondracki,Larysa Kondracki,Rachel Weisz,112
The White Balloon,Unrated,Drama,7.7,Jafar Panahi,Abbas Kiarostami,Aida Mohammadkhani,85
The White Ribbon,R,Drama,7.8,Michael Haneke,Michael Haneke,Christian Friedel,144
The Whole Nine Yards,R,Comedy,6.7,Jonathan Lynn,Mitchell Kapner,Bruce Willis,98
The Whole Ten Yards,PG-13,Comedy,5.5,Howard Deutch,Mitchell Kapner,Bruce Willis,98
The Whole Wide World,PG,Biography,7.1,Dan Ireland,Novalyne Price Ellis,Vincent D'Onofrio,111
The Whoopee Boys,R,Comedy,5.9,John Byrum,Steve Zacharias,Michael O'Keefe,88
The Wicked Lady,R,Adventure,4.7,Michael Winner,Leslie Arliss,Faye Dunaway,98
The Wicker Man,PG-13,Horror,3.7,Neil LaBute,Neil LaBute,Nicolas Cage,102
The Wife,R,Drama,7.2,Björn Runge,Jane Anderson,Glenn Close,99
The Wild,G,Animation,5.2,Steve 'Spaz' Williams,Ed Decter,Kiefer Sutherland,82
The Wild Life,R,Comedy,6.1,Art Linson,Cameron Crowe,Chris Penn,96
The Wild Thornberrys,PG,Animation,5.6,Cathy Malkasian,Arlene Klasky,Tim Curry,85
The Wind,R,Horror,5.6,Emma Tammi,Teresa Sutherland,Caitlin Gerard,88
The Wind Rises,PG-13,Animation,7.8,Hayao Miyazaki,Hayao Miyazaki,Hideaki Anno,126
The Wind that Shakes the Barley,Unrated,Drama,7.5,Ken Loach,Paul Laverty,Cillian Murphy,127
The Wind Will Carry Us,Unrated,Drama,7.5,Abbas Kiarostami,Mahmoud Aiden,Behzad Dorani,118
The Wings of the Dove,R,Drama,7.1,Iain Softley,Henry James,Helena Bonham Carter,102
The Winslow Boy,G,Drama,7.3,David Mamet,Terence Rattigan,Rebecca Pidgeon,104
The Witch,R,Drama,6.9,Robert Eggers,Robert Eggers,Anya Taylor-Joy,92
The Witches,PG,Adventure,6.9,Nicolas Roeg,Roald Dahl,Anjelica Huston,91
The Witches of Eastwick,R,Comedy,6.6,George Miller,John Updike,Jack Nicholson,118
The Wizard,PG,Adventure,6.1,Todd Holland,David Chisholm,Fred Savage,100
The Wizard of Oz,Unrated,Animation,6.8,Fumihiko Takayama,Yoshimitsu Banno,Aileen Quinn,78
The Wolf of Wall Street,R,Biography,8.2,Martin Scorsese,Terence Winter,Leonardo DiCaprio,180
The Wolfman,R,Drama,5.8,Joe Johnston,Andrew Kevin Walker,Benicio Del Toro,
The Wolverine,PG-13,Action,6.7,James Mangold,Mark Bomback,Hugh Jackman,126
The Woman in Black,PG-13,Drama,6.4,James Watkins,Susan Hill,Daniel Radcliffe,95
The Woman in Red,PG-13,Comedy,6,Gene Wilder,Jean-Loup Dabadie,Gene Wilder,87
The Women,PG-13,Comedy,5,Diane English,Diane English,Meg Ryan,114
The Wood,R,Comedy,7,Rick Famuyiwa,Rick Famuyiwa,Elayn J. Taylor,106
The Woodsman,R,Drama,7.2,Nicole Kassell,Steven Fechter,Kevin Bacon,87
The Words,PG-13,Drama,7,Brian Klugman,Brian Klugman,Bradley Cooper,102
The World According to Garp,R,Comedy,7.2,George Roy Hill,John Irving,Robin Williams,136
The World Is Not Enough,PG-13,Action,6.4,Michael Apted,Neal Purvis,Pierce Brosnan,128
The World's End,R,Comedy,7,Edgar Wright,Simon Pegg,Simon Pegg,109
The World's Fastest Indian,PG-13,Biography,7.8,Roger Donaldson,Roger Donaldson,Anthony Hopkins,127
The Wraith,PG-13,Action,6,Mike Marvin,Mike Marvin,Charlie Sheen,93
The Wrestler,R,Drama,7.9,Darren Aronofsky,Robert Siegel,Mickey Rourke,109
The X Files,PG-13,Drama,7,Rob Bowman,Chris Carter,David Duchovny,121
The X Files: I Want to Believe,PG-13,Crime,5.9,Chris Carter,Frank Spotnitz,David Duchovny,104
The Yards,R,Crime,6.4,James Gray,James Gray,Mark Wahlberg,115
The Year My Voice Broke,PG-13,Drama,7.4,John Duigan,John Duigan,Noah Taylor,103
The Year of Living Dangerously,PG,Drama,7.1,Peter Weir,David Williamson,Mel Gibson,115
The Young Victoria,PG,Biography,7.3,Jean-Marc Vallée,Julian Fellowes,Emily Blunt,105
The Zero Theorem,R,Comedy,6.1,Terry Gilliam,Pat Rushin,Christoph Waltz,107
The Zookeeper's Wife,PG-13,Biography,7,Niki Caro,Angela Workman,Jessica Chastain,127
Their Finest,R,Comedy,6.8,Lone Scherfig,Lissa Evans,Gemma Arterton,117
Thelma,Unrated,Drama,7,Joachim Trier,Eskil Vogt,Eili Harboe,116
Thelma & Louise,R,Adventure,7.5,Ridley Scott,Callie Khouri,Susan Sarandon,130
Them That Follow,R,Drama,5.4,Britt Poulton,Britt Poulton,Walton Goggins,98
There Goes My Baby,R,Comedy,6.4,Floyd Mutrux,Floyd Mutrux,Dermot Mulroney,99
There Will Be Blood,R,Drama,8.2,Paul Thomas Anderson,Paul Thomas Anderson,Daniel Day-Lewis,158
There's Something About Mary,R,Comedy,7.1,Bobby Farrelly,Ed Decter,Cameron Diaz,119
They Call Me Bruce,PG,Action,5.7,Elliott Hong,David Randolph,Johnny Yune,87
They Live,R,Action,7.3,John Carpenter,Ray Nelson,Roddy Piper,94
Thief,R,Action,7.4,Michael Mann,Frank Hohimer,James Caan,123
Thief of Hearts,Unrated,Crime,5.8,Douglas Day Stewart,Douglas Day Stewart,Steven Bauer,100
Things Are Tough All Over,R,Action,6,Thomas K. Avildsen,Cheech Marin,Toni Attell,90
Things Change,PG,Comedy,7,David Mamet,David Mamet,Don Ameche,100
Things to Do in Denver When You're Dead,R,Crime,6.8,Gary Fleder,Scott Rosenberg,Andy Garcia,115
Things We Lost in the Fire,R,Drama,7.2,Susanne Bier,Allan Loeb,Halle Berry,118
Think Like a Man,PG-13,Comedy,6.5,Tim Story,Keith Merryman,Chris Brown,122
Think Like a Man Too,PG-13,Comedy,5.8,Tim Story,Keith Merryman,Kevin Hart,106
Thinner,R,Fantasy,5.8,Tom Holland,Stephen King,Robert John Burke,93
Thir13en Ghosts,R,Fantasy,5.6,Steve Beck,Robb White,Tony Shalhoub,91
Third Person,R,Drama,6.3,Paul Haggis,Paul Haggis,Liam Neeson,137
Thirst,R,Drama,7.1,Park Chan-Wook,Émile Zola,Kang-ho Song,134
Thirteen,R,Drama,6.8,Catherine Hardwicke,Catherine Hardwicke,Evan Rachel Wood,100
Thirteen Days,PG-13,Drama,7.3,Roger Donaldson,David Self,Kevin Costner,145
This Beautiful Fantastic,PG,Comedy,6.9,Simon Aboud,Simon Aboud,Jessica Brown Findlay,92
This Boy's Life,R,Biography,7.3,Michael Caton-Jones,Tobias Wolff,Robert De Niro,115
This Is 40,R,Comedy,6.2,Judd Apatow,Judd Apatow,Paul Rudd,134
This Is England,Unrated,Crime,7.7,Shane Meadows,Shane Meadows,Thomas Turgoose,101
This Is My Life,PG-13,Drama,6.1,Nora Ephron,Meg Wolitzer,Julie Kavner,105
This Is Spinal Tap,R,Comedy,7.9,Rob Reiner,Christopher Guest,Rob Reiner,82
This Is the End,R,Comedy,6.6,Evan Goldberg,Seth Rogen,James Franco,107
This Is Where I Leave You,R,Comedy,6.6,Shawn Levy,Jonathan Tropper,Jason Bateman,103
This Means War,PG-13,Action,6.3,McG,Timothy Dowling,Reese Witherspoon,103
This Must Be the Place,R,Adventure,6.7,Paolo Sorrentino,Paolo Sorrentino,Sean Penn,118
Thomas and the Magic Railroad,G,Adventure,4.2,Britt Allcroft,Britt Allcroft,Alec Baldwin,85
Thor,PG-13,Action,7,Kenneth Branagh,Ashley Miller,Chris Hemsworth,115
Thor: Ragnarok,PG-13,Action,7.9,Taika Waititi,Eric Pearson,Chris Hemsworth,130
Thor: The Dark World,PG-13,Action,6.8,Alan Taylor,Christopher L. Yost,Chris Hemsworth,112
Thoroughbreds,R,Comedy,6.7,Cory Finley,Cory Finley,Olivia Cooke,92
"Those Lips, Those Eyes",R,Comedy,6.5,Michael Pressman,David Shaber,Frank Langella,105
Three Amigos!,PG,Comedy,6.5,John Landis,Steve Martin,Steve Martin,104
"Three Billboards Outside Ebbing, Missouri",R,Comedy,8.1,Martin McDonagh,Martin McDonagh,Frances McDormand,115
Three Colors: Blue,R,Drama,7.9,Krzysztof Kieslowski,Krzysztof Kieslowski,Juliette Binoche,94
Three Colors: Red,R,Drama,8.1,Krzysztof Kieslowski,Krzysztof Kieslowski,Irène Jacob,99
Three Colors: White,R,Comedy,7.6,Krzysztof Kieslowski,Krzysztof Kieslowski,Zbigniew Zamachowski,92
Three for the Road,PG,Drama,5.3,Bill Norton,Richard Martini,Charlie Sheen,88
Three Fugitives,PG-13,Action,6.2,Francis Veber,Francis Veber,Nick Nolte,96
Three Kings,R,Action,7.1,David O. Russell,John Ridley,George Clooney,114
Three Men and a Baby,PG,Comedy,6.1,Leonard Nimoy,Coline Serreau,Tom Selleck,102
Three Men and a Cradle,PG-13,Comedy,6.6,Coline Serreau,Coline Serreau,Roland Giraud,106
Three Men and a Little Lady,PG,Comedy,5.5,Emile Ardolino,Coline Serreau,Tom Selleck,104
Three O'Clock High,PG-13,Comedy,7.1,Phil Joanou,Richard Christian Matheson,Casey Siemaszko,101
Three to Tango,PG-13,Comedy,6.1,Damon Santostefano,Rodney Patrick Vaccaro,Neve Campbell,98
Three Wishes,PG,Drama,6.1,Martha Coolidge,Clifford Green,Patrick Swayze,115
Three... Extremes,R,Horror,7,Fruit Chan,Park Chan-Wook,Bai Ling,125
Threesome,R,Comedy,6.3,Andrew Fleming,Andrew Fleming,Lara Flynn Boyle,93
Through the Olive Trees,G,Drama,7.8,Abbas Kiarostami,Abbas Kiarostami,Mohamad Ali Keshavarz,103
Throw Momma from the Train,PG-13,Comedy,6.3,Danny DeVito,Stu Silver,Danny DeVito,88
Thumbelina,G,Animation,6.4,Don Bluth,Hans Christian Andersen,Jodi Benson,86
Thumbsucker,R,Comedy,6.6,Mike Mills,Walter Kirn,Lou Taylor Pucci,96
Thunder Run,PG-13,Action,5,Gary Hudson,Charles Davis,Forrest Tucker,90
Thunderbirds,PG,Action,4.3,Jonathan Frakes,Gerry Anderson,Bill Paxton,95
Thunderheart,R,Crime,6.8,Michael Apted,John Fusco,Val Kilmer,119
Thursday,R,Action,7.2,Skip Woods,Skip Woods,Thomas Jane,87
Tideland,R,Drama,6.5,Terry Gilliam,Tony Grisoni,Jeff Bridges,120
Tie Me Up! Tie Me Down!,NC-17,Comedy,7,Pedro Almodóvar,Pedro Almodóvar,Victoria Abril,101
Tigerland,R,Drama,7,Joel Schumacher,Ross Klavan,Colin Farrell,101
Tightrope,R,Crime,6.3,Richard Tuggle,Richard Tuggle,Clint Eastwood,114
Tillsammans,R,Comedy,7.4,Lukas Moodysson,Lukas Moodysson,Lisa Lindgren,106
Time Bandits,PG,Adventure,7,Terry Gilliam,Michael Palin,Sean Connery,110
Time of the Gypsies,R,Comedy,8.2,Emir Kusturica,Emir Kusturica,Davor Dujmovic,142
Time of the Wolf,R,Drama,6.6,Michael Haneke,Michael Haneke,Isabelle Huppert,114
Time Walker,PG,Horror,3.6,Tom Kennedy,Jason Williams,Ben Murphy,83
Timebomb,R,Action,5.4,Avi Nesher,Avi Nesher,Michael Biehn,96
Timecop,R,Action,5.9,Peter Hyams,Mark Verheiden,Jean-Claude Van Damme,99
Timecrimes,R,Horror,7.2,Nacho Vigalondo,Nacho Vigalondo,Karra Elejalde,92
Timeline,PG-13,Action,5.7,Richard Donner,Michael Crichton,Paul Walker,116
Tin Cup,R,Comedy,6.4,Ron Shelton,John Norville,Kevin Costner,135
Tin Men,R,Comedy,6.6,Barry Levinson,Barry Levinson,Richard Dreyfuss,112
Tinker Tailor Soldier Spy,R,Drama,7.1,Tomas Alfredson,John le Carré,Gary Oldman,122
Titan A.E.,PG,Animation,6.6,Don Bluth,Hans Bauer,Matt Damon,94
Titanic,PG-13,Drama,7.8,James Cameron,James Cameron,Leonardo DiCaprio,194
Titus,R,Drama,7.1,Julie Taymor,William Shakespeare,Anthony Hopkins,162
TMNT,PG,Animation,6.2,Kevin Munroe,Kevin Munroe,Patrick Stewart,103
To Be or Not to Be,PG,Comedy,6.8,Alan Johnson,Thomas Meehan,Mel Brooks,107
To Die For,R,Comedy,6.8,Gus Van Sant,Joyce Maynard,Nicole Kidman,106
To Live,Unrated,Drama,8.3,Yimou Zhang,Wei Lu,You Ge,133
To Live and Die in L.A.,R,Action,7.3,William Friedkin,Gerald Petievich,William Petersen,116
To Rome with Love,R,Comedy,6.3,Woody Allen,Woody Allen,Woody Allen,112
To Sleep with Anger,PG,Drama,7.2,Charles Burnett,Charles Burnett,Danny Glover,102
To the Wonder,R,Drama,5.9,Terrence Malick,Terrence Malick,Ben Affleck,112
To vlemma tou Odyssea,Unrated,Drama,7.6,Theodoros Angelopoulos,Theodoros Angelopoulos,Harvey Keitel,176
"To Wong Foo Thanks for Everything, Julie Newmar",PG-13,Comedy,6.6,Beeban Kidron,Douglas Carter Beane,Wesley Snipes,109
Tod@s Caen,PG-13,Comedy,4.9,Ariel Winograd,Cory Brusseau,Martha Higareda,120
Tokyo Decadence,NC-17,Drama,6,Ryû Murakami,Ryû Murakami,Miho Nikaido,112
Tokyo Godfathers,PG-13,Animation,7.8,Satoshi Kon,Satoshi Kon,Tôru Emori,92
Tokyo!,Unrated,Comedy,7.1,Leos Carax,Gabrielle Bell,Ayako Fujitani,112
Tolkien,PG-13,Biography,6.8,Dome Karukoski,David Gleeson,Nicholas Hoult,112
Tom & Viv,PG-13,Biography,6.3,Brian Gilbert,Michael Hastings,Willem Dafoe,115
Tom and Huck,PG,Adventure,5.5,Peter Hewitt,Mark Twain,Jonathan Taylor Thomas,97
Tom and Jerry: The Movie,G,Animation,5.4,Phil Roman,Dennis Marks,Richard Kind,84
Tomb Raider,PG-13,Action,6.3,Roar Uthaug,Geneva Robertson-Dworet,Alicia Vikander,119
Tomboy,R,Comedy,4.7,Herb Freed,Ben Zelig,Betsy Russell,91
Tombstone,R,Action,7.8,George P. Cosmatos,Kevin Jarre,Kurt Russell,130
Tomcats,R,Comedy,5.4,Gregory Poirier,Gregory Poirier,Shannon Elizabeth,95
Tommy Boy,PG-13,Adventure,7.1,Peter Segal,Bonnie Turner,Chris Farley,97
Tomorrow Never Dies,PG-13,Action,6.5,Roger Spottiswoode,Bruce Feirstein,Pierce Brosnan,119
Tomorrowland,PG,Action,6.4,Brad Bird,Damon Lindelof,George Clooney,130
Toni Erdmann,R,Comedy,7.4,Maren Ade,Maren Ade,Sandra Hüller,162
Too Beautiful for You,R,Comedy,6.8,Bertrand Blier,Bertrand Blier,Gérard Depardieu,91
Tooth Fairy,PG,Comedy,5,Michael Lembeck,Lowell Ganz,Dwayne Johnson,101
Tootsie,PG,Comedy,7.4,Sydney Pollack,Don McGuire,Dustin Hoffman,116
Top Dog,PG-13,Action,4.2,Aaron Norris,Aaron Norris,Chuck Norris,86
Top Five,R,Comedy,6.4,Chris Rock,Chris Rock,Chris Rock,102
Top Gun,PG,Action,6.9,Tony Scott,Jim Cash,Tom Cruise,110
Top Secret!,PG,Comedy,7.2,Jim Abrahams,Jim Abrahams,Val Kilmer,90
Topsy-Turvy,R,Biography,7.4,Mike Leigh,Mike Leigh,Jim Broadbent,160
Torch Song Trilogy,R,Comedy,7.7,Paul Bogart,Harvey Fierstein,Anne Bancroft,120
Torment,Unrated,Crime,7.1,Claude Chabrol,Claude Chabrol,Emmanuelle Béart,102
Torque,PG-13,Action,4.1,Joseph Kahn,Matt Johnson,Martin Henderson,84
Tortilla Soup,PG-13,Comedy,6.7,Maria Ripoll,Hui-Ling Wang,Hector Elizondo,102
Total Dhamaal,Unrated,Action,4.2,Indra Kumar,Paritosh Painter,Ajay Devgn,130
Total Eclipse,R,Biography,6.5,Agnieszka Holland,Christopher Hampton,Leonardo DiCaprio,111
Total Recall,R,Action,7.5,Paul Verhoeven,Philip K. Dick,Arnold Schwarzenegger,113
Total Recall,PG-13,Action,6.2,Len Wiseman,Kurt Wimmer,Colin Farrell,118
Totally F***ed Up,Unrated,Comedy,6.4,Gregg Araki,Gregg Araki,James Duval,78
Touch and Go,R,Comedy,5.7,Robert Mandel,Alan Ormsby,Michael Keaton,101
Tough Guys,PG,Comedy,6.2,Jeff Kanew,James Orr,Burt Lancaster,104
Tough Guys Don't Dance,R,Comedy,4.8,Norman Mailer,Norman Mailer,Ryan O'Neal,110
Tous les matins du monde,Unrated,Biography,7.5,Alain Corneau,Pascal Quignard,Gérard Depardieu,115
Towelhead,R,Drama,6.9,Alan Ball,Alan Ball,Summer Bishil,124
Tower Heist,PG-13,Action,6.2,Brett Ratner,Adam Cooper,Eddie Murphy,104
Toy Soldiers,R,Action,6.6,Daniel Petrie Jr.,William P. Kennedy,Sean Astin,111
Toy Story,G,Animation,8.3,John Lasseter,John Lasseter,Tom Hanks,81
Toy Story 2,G,Animation,7.9,John Lasseter,John Lasseter,Tom Hanks,92
Toy Story 3,G,Animation,8.2,Lee Unkrich,John Lasseter,Tom Hanks,103
Toy Story 4,G,Animation,7.7,Josh Cooley,John Lasseter,Tom Hanks,100
Toys,PG-13,Adventure,5.1,Barry Levinson,Valerie Curtin,Robin Williams,118
Traces of Red,R,Crime,5.2,Andy Wolk,Jim Piddock,Jim Belushi,105
Track 29,R,Drama,5.9,Nicolas Roeg,Dennis Potter,Theresa Russell,90
Tracks,PG-13,Adventure,7.2,John Curran,Marion Nelson,Mia Wasikowska,112
Trading Mom,PG,Comedy,5.6,Tia Brelis,Nancy Brelis,Sissy Spacek,82
Trading Places,R,Comedy,7.5,John Landis,Timothy Harris,Eddie Murphy,116
Traffic,R,Crime,7.6,Steven Soderbergh,Simon Moore,Michael Douglas,147
Trail of the Pink Panther,PG,Comedy,5,Blake Edwards,Blake Edwards,Peter Sellers,96
Train to Busan,Unrated,Action,7.6,Sang-ho Yeon,Joo-Suk Park,Gong Yoo,118
Training Day,R,Crime,7.7,Antoine Fuqua,David Ayer,Denzel Washington,122
Trainspotting,R,Drama,8.1,Danny Boyle,Irvine Welsh,Ewan McGregor,93
Trainwreck,R,Comedy,6.2,Judd Apatow,Amy Schumer,Amy Schumer,125
Traitor,PG-13,Action,7,Jeffrey Nachmanoff,Jeffrey Nachmanoff,Don Cheadle,114
Trance,R,Crime,6.9,Danny Boyle,Joe Ahearne,James McAvoy,101
Transamerica,R,Adventure,7.4,Duncan Tucker,Duncan Tucker,Felicity Huffman,103
Transcendence,PG-13,Action,6.2,Wally Pfister,Jack Paglen,Johnny Depp,119
Transformers,PG-13,Action,7,Michael Bay,Roberto Orci,Shia LaBeouf,144
Transformers: Age of Extinction,PG-13,Action,5.6,Michael Bay,Ehren Kruger,Mark Wahlberg,165
Transformers: Dark of the Moon,PG-13,Action,6.2,Michael Bay,Ehren Kruger,Shia LaBeouf,154
Transformers: Revenge of the Fallen,PG-13,Action,6,Michael Bay,Ehren Kruger,Shia LaBeouf,149
Transformers: The Last Knight,PG-13,Action,5.2,Michael Bay,Art Marcum,Mark Wahlberg,154
Transporter 2,R,Action,6.3,Louis Leterrier,Luc Besson,Jason Statham,87
Transporter 3,PG-13,Action,6.1,Olivier Megaton,Luc Besson,Jason Statham,104
Transsiberian,R,Crime,6.7,Brad Anderson,Brad Anderson,Woody Harrelson,111
Transylvania 6-5000,PG,Comedy,5,Rudy De Luca,Rudy De Luca,Jeff Goldblum,93
Trapped,R,Action,6.2,Luis Mandoki,Greg Iles,Kevin Bacon,106
Trapped in Paradise,PG-13,Adventure,5.9,George Gallo,George Gallo,Nicolas Cage,111
Treasure Planet,PG,Animation,7.2,Ron Clements,Robert Louis Stevenson,Joseph Gordon-Levitt,95
Trees Lounge,R,Comedy,7.1,Steve Buscemi,Steve Buscemi,Steve Buscemi,95
Tremors,PG-13,Comedy,7.1,Ron Underwood,S.S. Wilson,Kevin Bacon,96
Trenchcoat,PG,Comedy,5.3,Michael Tuchner,Jeffrey Price,Margot Kidder,91
Trespass,R,Action,6.3,Walter Hill,Bob Gale,Bill Paxton,101
Trespass,R,Crime,5.3,Joel Schumacher,Karl Gajdusek,Nicolas Cage,91
Trial and Error,PG-13,Comedy,5.8,Jonathan Lynn,Sara Bernstein,Michael Richards,98
Trial by Fire,R,Biography,7,Edward Zwick,Geoffrey Fletcher,Jack O'Connell,127
Trick,R,Comedy,7.2,Jim Fall,Jason Schafer,Christian Campbell,89
Trick or Treat,R,Comedy,5.8,Charles Martin Smith,Rhet Topham,Marc Price,98
Triple 9,R,Action,6.3,John Hillcoat,Matt Cook,Casey Affleck,115
Triple Threat,R,Action,5.6,Jesse V. Johnson,Joey O'Bryan,Tony Jaa,96
Tristan + Isolde,PG-13,Action,6.8,Kevin Reynolds,Dean Georgaris,James Franco,125
Triumph of the Spirit,R,Biography,6.8,Robert M. Young,Shimon Arama,Willem Dafoe,120
Trojan War,PG-13,Comedy,5.7,George Huang,Andy Burg,Will Friedle,85
Troll,PG-13,Comedy,4.5,John Carl Buechler,John Carl Buechler,Michael Moriarty,82
Trollhunter,PG-13,Drama,7,André Øvredal,André Øvredal,Otto Jespersen,103
Trolls,PG,Animation,6.5,Mike Mitchell,Jonathan Aibel,Anna Kendrick,92
Tron,PG,Action,6.8,Steven Lisberger,Steven Lisberger,Jeff Bridges,96
TRON: Legacy,PG,Action,6.8,Joseph Kosinski,Edward Kitsis,Jeff Bridges,125
Troop Beverly Hills,PG,Adventure,5.8,Jeff Kanew,Ava Ostern Fries,Shelley Long,105
Tropic Thunder,R,Action,7,Ben Stiller,Justin Theroux,Ben Stiller,107
Trouble Every Day,Unrated,Drama,6,Claire Denis,Claire Denis,Vincent Gallo,101
Trouble in Mind,R,Comedy,6.5,Alan Rudolph,Alan Rudolph,Kris Kristofferson,111
Trouble with the Curve,PG-13,Drama,6.8,Robert Lorenz,Randy Brown,Clint Eastwood,111
Troy,R,Drama,7.2,Wolfgang Petersen,Homer,Brad Pitt,163
True Believer,R,Crime,6.7,Joseph Ruben,Wesley Strick,James Woods,108
True Colors,R,Drama,6.3,Herbert Ross,Kevin Wade,John Cusack,111
True Confessions,R,Crime,6.3,Ulu Grosbard,John Gregory Dunne,Robert De Niro,108
True Crime,R,Crime,6.6,Clint Eastwood,Andrew Klavan,Clint Eastwood,127
True Grit,PG-13,Drama,7.6,Ethan Coen,Joel Coen,Jeff Bridges,110
True Lies,R,Action,7.2,James Cameron,Claude Zidi,Arnold Schwarzenegger,141
True Love,R,Comedy,6,Nancy Savoca,Nancy Savoca,Annabella Sciorra,104
True Romance,R,Crime,7.9,Tony Scott,Quentin Tarantino,Christian Slater,119
True Stories,PG,Comedy,7.2,David Byrne,Stephen Tobolowsky,David Byrne,89
True Story,R,Biography,6.3,Rupert Goold,Rupert Goold,James Franco,99
Truly Madly Deeply,PG,Comedy,7.2,Anthony Minghella,Anthony Minghella,Juliet Stevenson,106
Trumbo,R,Biography,7.5,Jay Roach,John McNamara,Bryan Cranston,124
Trust,R,Comedy,7.4,Hal Hartley,Hal Hartley,Adrienne Shelly,107
Trust,R,Crime,6.9,David Schwimmer,Andy Bellin,Clive Owen,106
Truth or Dare,PG-13,Horror,5.2,Jeff Wadlow,Michael Reisz,Lucy Hale,100
Tuck Everlasting,PG,Drama,6.6,Jay Russell,Natalie Babbitt,Alexis Bledel,90
Tucker and Dale vs Evil,R,Comedy,7.5,Eli Craig,Eli Craig,Tyler Labine,89
Tucker: The Man and His Dream,PG,Biography,6.9,Francis Ford Coppola,Arnold Schulman,Jeff Bridges,110
Tuff Turf,R,Action,6.1,Fritz Kiersch,Jette Rinck,James Spader,112
Tulip Fever,R,Drama,6.2,Justin Chadwick,Deborah Moggach,Alicia Vikander,105
Tully,R,Comedy,7,Jason Reitman,Diablo Cody,Charlize Theron,95
Tulsa,PG-13,Comedy,5,Scott Pryor,Scott Pryor,Scott Pryor,120
Tumbledown,R,Comedy,6.2,Sean Mewshaw,Sean Mewshaw,Rebecca Hall,105
Tune in Tomorrow...,PG-13,Comedy,6.2,Jon Amiel,Mario Vargas Llosa,Barbara Hershey,107
Turbo,PG,Animation,6.4,David Soren,Darren Lemke,Ryan Reynolds,96
Turbo Kid,Unrated,Action,6.7,François Simard,Anouk Whissell,Munro Chambers,93
Turbo: A Power Rangers Movie,PG,Action,3.7,Shuki Levy,Shuki Levy,Jason David Frank,99
Turbulence,R,Action,4.9,Robert Butler,Jonathan Brett,Ray Liotta,100
Turistas,R,Horror,5.4,John Stockwell,Michael Arlen Ross,Josh Duhamel,93
Turk 182,PG-13,Comedy,6,Bob Clark,James Gregory Kingston,Timothy Hutton,102
Turner & Hooch,PG,Comedy,6.2,Roger Spottiswoode,Dennis Shryack,Tom Hanks,97
Turtle Diary,PG,Comedy,6.9,John Irvin,Russell Hoban,Glenda Jackson,97
Tusk,R,Comedy,5.3,Kevin Smith,Kevin Smith,Justin Long,102
Twelfth Night,PG,Comedy,7.2,Trevor Nunn,William Shakespeare,Helena Bonham Carter,134
Twelve,R,Action,5.6,Joel Schumacher,Jordan Melamed,Chace Crawford,93
Twentynine Palms,Unrated,Drama,5.2,Bruno Dumont,Bruno Dumont,Yekaterina Golubeva,119
Twice in a Lifetime,R,Drama,6.5,Bud Yorkin,Colin Welland,Gene Hackman,111
Twilight,R,Crime,6.2,Robert Benton,Robert Benton,Paul Newman,94
Twilight,PG-13,Drama,5.2,Catherine Hardwicke,Melissa Rosenberg,Kristen Stewart,122
Twilight Zone: The Movie,PG,Horror,6.5,Directors,John Landis,Dan Aykroyd,101
Twin Dragons,PG-13,Action,6.5,Ringo Lam,Barry Wong,Jackie Chan,104
Twin Peaks: Fire Walk with Me,R,Drama,7.3,David Lynch,David Lynch,Sheryl Lee,134
